 ElementName  ElementType        L              s              K1             K2           Angle     
                                 m              m             1/m2           1/m3                    
-----------------------------------------------------------------------------------------------------
      Q12_C7         DRIF  2.979030e-001  1.787482e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          C7       KICKER  1.500000e-001  1.802482e+001  0.000000e+000  0.000000e+000  0.000000e+000 
      C7_Q13         DRIF  3.191970e-001  1.834402e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q13         QUAD  1.500000e-001  1.849402e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     Q13_FT2         DRIF  2.617092e-001  1.875572e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         FT2         MARK  0.000000e+000  1.875572e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     FT2_VF5         DRIF  1.247753e-001  1.888050e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         VF5        WATCH  0.000000e+000  1.888050e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     VF5_IT2         DRIF  1.445873e-001  1.902509e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         IT2         MARK  0.000000e+000  1.902509e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     IT2_Q14         DRIF  2.359287e-001  1.926102e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q14         QUAD  1.500000e-001  1.941102e+001  -3.391127e+000  0.000000e+000  0.000000e+000 
     Q14_Q15         DRIF  7.670000e-001  2.017802e+001  0.000000e+000  0.000000e+000  0.000000e+000 
         Q15         QUAD  1.500000e-001  2.032802e+001  1.712181e+000  0.000000e+000  0.000000e+000 
      Q15_C8         DRIF  1.046880e-001  2.043270e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          C8       KICKER  1.500000e-001  2.058270e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       C8_P6         DRIF  7.057450e-001  2.128845e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P6_HALF         DRIF  8.000000e-002  2.136845e+001  0.000000e+000  0.000000e+000  0.000000e+000 
          P6         MONI  0.000000e+000  2.136845e+001  0.000000e+000  0.000000e+000  0.000000e+000 
     P6_HALF         DRIF  8.000000e-002  2.144845e+001  0.000000e+000  0.000000e+000  0.000000e+000 
    P6_SP1SI         DRIF  7.128240e-001  2.216127e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       SP1SI       CSBEND  7.500000e-001  2.291127e+001  0.000000e+000  0.000000e+000  -1.250000e-001 
         INJ         MARK  0.000000e+000  2.291127e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       DAIN2         DRIF  9.440000e-001  2.385527e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       BU3SI       CSBEND  2.000000e-001  2.405527e+001  0.000000e+000  0.000000e+000  1.291000e-002 
       DAIN3         DRIF  1.525127e+000  2.558040e+001  0.000000e+000  0.000000e+000  0.000000e+000 
   P2SI_HALF         DRIF  4.500000e-003  2.558490e+001  0.000000e+000  0.000000e+000  0.000000e+000 
        P2SI         MONI  0.000000e+000  2.558490e+001  0.000000e+000  0.000000e+000  0.000000e+000 
   P2SI_HALF         DRIF  4.500000e-003  2.558940e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       DAIN4         DRIF  5.550170e-001  2.614442e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       BU4SI       CSBEND  2.000000e-001  2.634442e+001  0.000000e+000  0.000000e+000  -1.291000e-002 
       DAIN5         DRIF  1.814860e-001  2.652590e+001  0.000000e+000  0.000000e+000  0.000000e+000 
        C2SI       KICKER  1.500000e-001  2.667590e+001  0.000000e+000  0.000000e+000  0.000000e+000 
       DAIN6         DRIF  4.354300e-002  2.671945e+001  0.000000e+000  0.000000e+000  0.000000e+000 
