Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
       RXD11         27.51       5.77035       4.50937      -3.76562       3.14731       2.63068       2.41842       1.67417      0.981408 
       R2QF4         27.86       6.38522       3.81877       2.21268     -0.955382      0.923377      0.500882       1.68284      0.995625 
       RXD12            28       5.78377        4.0961       2.08341      -1.02551      0.923377      0.500882        1.6865       1.00126 
       R2SF1         28.12       5.29705       4.34943       1.97261      -1.08561      0.923377      0.500882       1.68995       1.00579 
      RXD13A        28.555       3.75561       5.38869       1.57094       -1.3035      0.923377      0.500882        1.7055       1.02011 
       R2SQ1        28.555       3.75561       5.38869       1.57094       -1.3035      0.923377      0.500882        1.7055       1.02011 
      RXD13B         28.88       2.83203       6.28887       1.27084      -1.46628      0.923377      0.500882       1.72139         1.029 
      R2BPM4         28.88       2.83203       6.28887       1.27084      -1.46628      0.923377      0.500882       1.72139         1.029 
       RXD14        29.015       2.50573        6.6939       1.14618       -1.5339      0.923377      0.500882       1.72946       1.03231 
       R2VC2        29.015       2.50573        6.6939       1.14618       -1.5339      0.923377      0.500882       1.72946       1.03231 
       RXD15         29.39       1.77595       7.91476      0.799917      -1.72173      0.923377      0.500882        1.7579       1.04051 
      RXDM2U       29.5974       1.53735       8.34811      0.444779     -0.756027       0.77915      0.188255       1.77797       1.04456 
      RXDM2D         30.61       1.82536       6.92625     -0.848492       2.32891      0.942244       0.92746       1.88734        1.0645 
       RXD16        31.255       3.31192        4.3078      -1.45624        1.7307      0.942244       0.92746       1.92959       1.08334 
      R2BPM5        31.255       3.31192        4.3078      -1.45624        1.7307      0.942244       0.92746       1.92959       1.08334 
      RXD17A        31.445        3.8993       3.68362      -1.63527       1.55448      0.942244       0.92746         1.938       1.09093 
       R2SQ2        31.445        3.8993       3.68362      -1.63527       1.55448      0.942244       0.92746         1.938       1.09093 
      RXD17B         31.88       5.50028       2.50672      -2.04514       1.15103      0.942244       0.92746       1.95298        1.1138 
       R2SF2            32       6.00468       2.24383      -2.15821       1.03974      0.942244       0.92746        1.9563       1.12185 
       RXD18         32.14       6.62745       1.97088      -2.29012      0.909895      0.942244       0.92746       1.95983       1.13246 
       R2QF5         32.49        5.9839       2.05638       3.91549      -1.18127       2.72916       1.16487       1.96819       1.16189 
       RXD19         32.93       3.06663       3.32142       2.71465      -1.69381       2.72916       1.16487       1.98456       1.18881 
      R2BPM6         32.93       3.06663       3.32142       2.71465      -1.69381       2.72916       1.16487       1.98456       1.18881 
       RXD20         33.03         2.551       3.67183       2.44174       -1.8103       2.72916       1.16487       1.99026       1.19337 
       R2SD2         33.15       2.00428       4.12307       2.11424      -1.95008       2.72916       1.16487       1.99871       1.19828 
       RXD21         33.51      0.835726        5.6781       1.13174      -2.36944       2.72916       1.16487       2.04357       1.21013 
       RXDMX         34.73       2.24475       7.68762      -2.51671       1.13512        3.2671      0.297686       2.34145       1.23705 
       RXD22        35.165       5.05251        6.7564       -3.9379       1.00563        3.2671      0.297686       2.36207       1.24666 
       R2QD6        35.405       7.56839       5.86764      -6.77882       2.61414       6.20375       1.33508       2.36831       1.25266 
      R2D23A         35.52       9.20956       5.28405      -7.49225       2.46061       6.20375       1.33508       2.37051       1.25594 
      R2VC3A         35.52       9.20956       5.28405      -7.49225       2.46061       6.20375       1.33508       2.37051       1.25594 
      R2HC2A         35.52       9.20956       5.28405      -7.49225       2.46061       6.20375       1.33508       2.37051       1.25594 
      R2D23B         35.64        11.097       4.71273       -8.2367        2.3004       6.20375       1.33508        2.3724       1.25977 
      R2BPM7         35.64        11.097       4.71273       -8.2367        2.3004       6.20375       1.33508        2.3724       1.25977 
      R2D24A       35.7025       12.1509       4.43039      -8.62443       2.21696       6.20375       1.33508       2.37325       1.26195 
       R2VCU       35.7025       12.1509       4.43039      -8.62443       2.21696       6.20375       1.33508       2.37325       1.26195 
      R2D24B            36       17.8315       3.22946        -10.47       1.81977       6.20375       1.33508       2.37647       1.27448 
       R2QF7         36.35       18.5835       3.10797       8.58265      -1.43241       4.01764      0.981921       2.37935       1.29317 
       RXD25         36.49       16.2591       3.52829       8.02018      -1.56987       4.01764      0.981921       2.38063        1.2999 
       R2HC2         36.49       16.2591       3.52829       8.02018      -1.56987       4.01764      0.981921       2.38063        1.2999 
       RXD26         36.65       13.7955       4.05579       7.37735      -1.72698       4.01764      0.981921       2.38233       1.30663 
       R2QD8            37       11.2823       4.50178      0.255248      0.535008     0.0944092      0.285717       2.38694       1.31927 
      R2D27A         37.09       11.2371       4.40779      0.246751      0.509294     0.0944092      0.285717       2.38821       1.32249 
      R2BPM8         37.09       11.2371       4.40779      0.246751      0.509294     0.0944092      0.285717       2.38821       1.32249 
